"pval"	"apval"	"SBS1"	"SBS40"	"SBS31"
"SAMPLE166"	0.000385794804028672	0.385794804028672	4.89840840250963	37.6790330791198	19.4225585183706
"SAMPLE437"	0.00371113379041361	1	4.37675156951082	39.7961528997628	17.8270955307264
"SAMPLE183"	0.00429316983284946	1	4.56624008000386	38.5408134935662	18.8929464264299
"SAMPLE41"	0.00438406145190069	1	4.87547023777159	37.8592495380839	19.2652802241446
"SAMPLE959"	0.00467005149875982	1	4.25880878927418	43.2288148132378	14.512376397488
"SAMPLE671"	0.0067646834017227	1	5.58086067788725	43.1070983984648	13.312040923648
"SAMPLE594"	0.0133181025193282	1	3.33583104430918	43.9131962478058	14.7509727078851
"SAMPLE274"	0.0160163367342079	1	4.81101262298123	41.065227648527	16.1237597284918
"SAMPLE130"	0.018037038524034	1	4.9422144667451	43.7153308838597	13.3424546493952
"SAMPLE394"	0.0187446043420132	1	5.03803193655176	44.495742571363	12.4662254920853
"SAMPLE68"	0.0210433616722444	1	4.02236014258599	43.6079510062995	14.3696888511145
"SAMPLE446"	0.0225516176642634	1	5.27917668796246	44.449436806067	12.2713865059705
"SAMPLE836"	0.0255008130865315	1	4.9806592639496	42.7857680615652	14.2335726744852
"SAMPLE157"	0.0260194396068652	1	3.86779966058128	43.2871696323188	14.8450307070999
"SAMPLE35"	0.0265467565395778	1	4.70845882590813	43.031828214322	14.2597129597699
"SAMPLE926"	0.0285657879240217	1	4.06310507606863	46.9151689139991	11.0217260099322
"SAMPLE355"	0.03063803452436	1	4.50623392668001	41.5766722297151	15.9170938436049
"SAMPLE593"	0.0342138987707214	1	5.13908465753788	43.6692060263885	13.1917093160737
"SAMPLE869"	0.0343860411351219	1	4.88688758089864	41.6584440765743	15.454668342527
"SAMPLE223"	0.0357068892747554	1	4.91563784423024	45.3568290429348	11.7275331128349
"SAMPLE318"	0.0406677217589661	1	5.17934208053466	45.5351059148908	11.2855520045745
"SAMPLE826"	0.040712524376975	1	3.91916062991003	47.1217379259064	10.9591014441836
"SAMPLE416"	0.0413864017941495	1	4.91783766975501	45.575485904207	11.506676426038
"SAMPLE820"	0.0428866330589188	1	3.92438029401175	47.8687248501213	10.206894855867
"SAMPLE372"	0.0604373450257062	1	3.00428481263978	58.9957151873602	0
"SAMPLE302"	0.0687924754611913	1	5.09363537450872	56.9063646254913	0
"SAMPLE871"	0.0708435122870792	1	4.12571186505026	57.8742881349497	0
"SAMPLE3"	0.0719960983663644	1	6.95302910759516	55.0469708924048	0
"SAMPLE407"	0.075684066474185	1	5.24211719060138	56.7578828093986	0
"SAMPLE429"	0.0766533752040789	1	5.1654457757296	56.8345542242704	0
"SAMPLE264"	0.0780844999748706	1	5.5481333152756	56.4518666847244	0
"SAMPLE156"	0.0804879149188123	1	4.24081716648609	57.7591828335139	0
"SAMPLE908"	0.0826745409243715	1	4.06799055814622	57.9320094418538	0
"SAMPLE823"	0.083435148932733	1	4.18936553084965	57.8106344691503	0
"SAMPLE487"	0.0854280538420315	1	4.32140746246308	57.6785925375369	0
"SAMPLE451"	0.0857265424547747	1	3.78857038532262	58.2114296146774	0
"SAMPLE307"	0.0861571715917189	1	5.12975528016969	56.8702447198303	0
"SAMPLE211"	0.0867653702548694	1	4.84087955952573	57.1591204404743	0
"SAMPLE410"	0.0878135085292978	1	5.54220353532674	56.4577964646733	0
"SAMPLE129"	0.089442127978804	1	5.68835903468425	56.3116409653157	0
"SAMPLE440"	0.091195214225596	1	5.25426646804238	56.7457335319576	0
"SAMPLE987"	0.0922718898435082	1	4.83530057510766	57.1646994248923	0
"SAMPLE746"	0.0933177102936929	1	7.71541676556506	54.2845832344349	0
"SAMPLE846"	0.0941544268871131	1	5.32346551838385	56.6765344816162	0
"SAMPLE733"	0.0943309078020383	1	3.83141423943338	58.1685857605666	0
"SAMPLE119"	0.0943560318382839	1	5.55308441664587	56.4469155833541	0
"SAMPLE242"	0.0976190006859779	1	5.04222960141799	56.957770398582	0
"SAMPLE677"	0.102331688470778	1	4.35528151630976	57.6447184836902	0
"SAMPLE744"	0.104767164793812	1	5.36582023087593	56.6341797691241	0
"SAMPLE59"	0.104790807674482	1	5.56975695944454	56.4302430405555	0
"SAMPLE725"	0.105416864231258	1	4.1274366026341	57.8725633973659	0
"SAMPLE10"	0.11053932842618	1	5.40263932497592	56.5973606750241	0
"SAMPLE806"	0.111356571544343	1	4.37985956009928	57.6201404399007	0
"SAMPLE115"	0.116758978968931	1	5.71693574115921	56.2830642588408	0
"SAMPLE912"	0.119188574698365	1	5.5265051502398	56.4734948497602	0
"SAMPLE815"	0.119688073890439	1	4.04682981403677	57.9531701859632	0
"SAMPLE712"	0.120290454731033	1	5.54209029363574	56.4579097063643	0
"SAMPLE857"	0.123494127902399	1	5.41906383137388	56.5809361686261	0
"SAMPLE728"	0.126088409986354	1	5.14736153677207	56.8526384632279	0
"SAMPLE643"	0.128893285560148	1	5.59866581403002	56.40133418597	0
"SAMPLE752"	0.130401702555673	1	4.18595724010813	57.8140427598919	0
"SAMPLE42"	0.139187146478385	1	5.51267360020031	56.4873263997997	0
"SAMPLE77"	0.141567722091603	1	4.18743518995961	57.8125648100404	0
"SAMPLE239"	0.141770405919615	1	4.60594797917335	57.3940520208266	0
"SAMPLE488"	0.142080835370214	1	5.46614765311592	56.5338523468841	0
"SAMPLE145"	0.144557249251853	1	5.36425079671522	56.6357492032848	0
"SAMPLE89"	0.146846215049575	1	4.14709123261934	57.8529087673807	0
"SAMPLE936"	0.147352487342294	1	4.09684097902346	57.9031590209765	0
"SAMPLE261"	0.149901433615119	1	5.35630983143074	56.6436901685693	0
"SAMPLE978"	0.156025254962565	1	5.26574749857599	56.734252501424	0
"SAMPLE619"	0.159386410660483	1	6.37151575977392	55.6284842402261	0
"SAMPLE16"	0.159863153173866	1	4.98853788785995	57.0114621121401	0
"SAMPLE456"	0.162765443345597	1	5.0185529746187	56.9814470253813	0
"SAMPLE853"	0.163379718292552	1	7.28553013123093	54.7144698687691	0
"SAMPLE276"	0.16345351866626	1	4.98919413909756	57.0108058609024	0
