"pval"	"apval"	"SBS1"	"SBS40"	"SBS31"
"SAMPLE_SBS31_60_65"	1.65083519871494e-27	2.14608575832942e-24	1.07580836181005e-32	0	62
"SAMPLE_SBS31_60_71"	9.3924430277503e-24	1.22101759360754e-20	0.138465208555971	0	61.861534791444
"SAMPLE_SBS31_60_46"	1.9750472728381e-23	2.56756145468954e-20	0	0	62
"SAMPLE_SBS31_60_98"	8.08009385203035e-23	1.05041220076395e-19	0	0	62
"SAMPLE_SBS31_60_47"	1.25751714226984e-22	1.6347722849508e-19	0	4.82361379095174e-30	62
"SAMPLE_SBS31_55_58"	3.30628583011501e-22	4.29817157914952e-19	0	0	62
"SAMPLE_SBS31_60_53"	3.96922220262275e-22	5.15998886340957e-19	0	0	62
"SAMPLE_SBS31_60_56"	4.67996816379905e-22	6.08395861293877e-19	1.19695626319615e-41	4.85506922503369e-30	62
"SAMPLE_SBS31_60_28"	5.41503532764808e-22	7.0395459259425e-19	0	0	62
"SAMPLE_SBS31_50_84"	5.49397250250676e-22	7.14216425325879e-19	3.19719839243878	0	58.8028016075612
"SAMPLE_SBS31_55_47"	8.06673304323566e-22	1.04867529562064e-18	0	0	62
"SAMPLE_SBS31_60_57"	1.03904477185544e-21	1.35075820341208e-18	4.44012106097864e-33	8.12701798726239e-28	62
"SAMPLE_SBS31_60_42"	1.30587015720858e-21	1.69763120437115e-18	0	0	62
"SAMPLE_SBS31_60_87"	1.34436541400782e-21	1.74767503821016e-18	0	0	62
"SAMPLE_SBS31_60_96"	2.11346257707152e-21	2.74750135019297e-18	0	2.16314704055435e-29	62
"SAMPLE_SBS31_60_58"	4.07197114136656e-21	5.29356248377653e-18	3.35980183518814e-48	0	62
"SAMPLE_SBS31_55_33"	5.34908934978832e-21	6.95381615472482e-18	0.285787553272967	2.03892543993512e-23	61.714212446727
"SAMPLE_SBS31_60_43"	7.35761898601304e-21	9.56490468181696e-18	9.21969639435728e-45	2.4437600380256e-26	62
"SAMPLE_SBS31_50_61"	1.48450892035202e-20	1.92986159645762e-17	1.44887204965452e-46	0	62
"SAMPLE_SBS31_60_36"	3.06951509687503e-20	3.99036962593754e-17	0	0	62
"SAMPLE_SBS31_55_25"	3.68734346693919e-20	4.79354650702095e-17	0	0	62
"SAMPLE_SBS31_45_47"	5.17226350887459e-20	6.72394256153696e-17	0	0	62
"SAMPLE_SBS31_60_24"	6.81904216728116e-20	8.8647548174655e-17	0	9.53665891308874e-38	62
"SAMPLE_SBS31_55_28"	7.22847256000809e-20	9.39701432801052e-17	0	0	62
"SAMPLE_SBS31_60_3"	7.52800159348544e-20	9.78640207153107e-17	0	0	62
"SAMPLE_SBS31_60_11"	8.941974401953e-20	1.16245667225389e-16	0	0	62
"SAMPLE_SBS31_55_35"	1.15500100929187e-19	1.50150131207943e-16	0	0	62
"SAMPLE_SBS31_60_4"	1.21381619981676e-19	1.57796105976179e-16	0.343959051555292	1.09023072118289e-22	61.6560409484447
"SAMPLE_SBS31_55_54"	1.28822934796966e-19	1.67469815236055e-16	3.48625545924602e-43	0	62
"SAMPLE_SBS31_60_27"	1.32436956751944e-19	1.72168043777527e-16	2.42830822224957e-34	7.97715867328889e-54	62
"SAMPLE_SBS31_60_19"	1.68263874296203e-19	2.18743036585064e-16	0.464517636794255	1.18307602999287e-21	61.5354823632058
"SAMPLE_SBS31_55_68"	1.7101971080623e-19	2.22325624048099e-16	0	0	62
"SAMPLE_SBS31_55_44"	1.9506086724289e-19	2.53579127415758e-16	0.150149144692724	1.58648743745173e-23	61.8498508553073
"SAMPLE_SBS31_55_51"	2.23041264045421e-19	2.89953643259047e-16	0	0	62
"SAMPLE_SBS31_55_9"	2.38957942964302e-19	3.10645325853592e-16	1.14237855167347e-42	3.60706469110126e-26	62
"SAMPLE_SBS31_60_66"	3.00967324449275e-19	3.91257521784058e-16	0	0	62
"SAMPLE_SBS31_55_81"	3.59057852459711e-19	4.66775208197624e-16	0	0	62
"SAMPLE_SBS31_50_89"	3.88471755919135e-19	5.05013282694876e-16	0	0	62
"SAMPLE_SBS31_60_93"	4.10848962787906e-19	5.34103651624277e-16	2.29133605486257e-30	1.64763913448114e-27	62
"SAMPLE_SBS31_50_30"	4.4568148025434e-19	5.79385924330642e-16	0	0	62
"SAMPLE_SBS31_55_4"	7.20184626718946e-19	9.3624001473463e-16	0	0	62
"SAMPLE_SBS31_45_61"	7.32686839107159e-19	9.52492890839306e-16	1.6985122614317e-83	0	62
"SAMPLE_SBS31_60_54"	7.90556139007348e-19	1.02772298070955e-15	0	0	62
"SAMPLE_SBS31_60_8"	8.51363257793202e-19	1.10677223513116e-15	9.87289219574188e-30	0	62
