"pval"	"apval"	"SBS5"	"SBS40"	"SBS45"	"SBS31"
"SAMPLE_SBS31_485_18"	3.14660066299996e-76	3.14660066299996e-72	0	0	0	513
"SAMPLE_SBS31_490_3"	4.91673969019584e-75	4.91673969019584e-71	7.594883372597e-40	4.21123513066259e-27	2.02146861692483e-29	513
"SAMPLE_SBS31_470_7"	6.35043136731378e-75	6.35043136731378e-71	2.22644683229253e-28	4.81738022312687e-28	0	513
"SAMPLE_SBS31_490_74"	1.01755976990225e-74	1.01755976990225e-70	0	0	0	513
"SAMPLE_SBS31_480_60"	1.29866396435165e-74	1.29866396435165e-70	0	0	0	514
"SAMPLE_SBS31_485_28"	2.67315235596847e-74	2.67315235596847e-70	0	0	0	513
"SAMPLE_SBS31_495_25"	2.48138292370002e-73	2.48138292370002e-69	0	0	0	513
"SAMPLE_SBS31_495_68"	3.17949954067184e-73	3.17949954067184e-69	6.41746572304104e-28	8.33534490077382e-27	9.39625542536385	503.603744574636
"SAMPLE_SBS31_490_97"	3.71641790951109e-73	3.71641790951109e-69	0	0	0	513
"SAMPLE_SBS31_485_32"	3.98071854656419e-73	3.98071854656419e-69	0	2.30707090642381e-41	0	513
"SAMPLE_SBS31_495_89"	5.24991255051647e-73	5.24991255051647e-69	0	0	0	513
"SAMPLE_SBS31_495_15"	1.23798838700276e-72	1.23798838700276e-68	0	0	0	513
"SAMPLE_SBS31_495_63"	1.51717181800062e-72	1.51717181800062e-68	0	0	0	513
"SAMPLE_SBS31_495_14"	1.64343069864207e-72	1.64343069864207e-68	1.986510409843e-35	9.30416383052976e-28	0	513
"SAMPLE_SBS31_480_2"	3.51437146378014e-72	3.51437146378014e-68	0	0	0	514
"SAMPLE_SBS31_495_39"	4.48594624252263e-72	4.48594624252263e-68	1.10837288805635e-30	4.59341836312694e-30	3.79962998979111e-25	513
"SAMPLE_SBS31_485_43"	5.86260045939914e-72	5.86260045939914e-68	0	0	0	513
"SAMPLE_SBS31_485_11"	1.09086813515465e-71	1.09086813515465e-67	0	0	0	513
"SAMPLE_SBS31_485_19"	1.2294340416853e-71	1.2294340416853e-67	0	0	0	513
"SAMPLE_SBS31_495_5"	2.04653491851327e-71	2.04653491851327e-67	0	0	0	513
"SAMPLE_SBS31_495_65"	2.21195829229828e-71	2.21195829229828e-67	0	0	0	513
"SAMPLE_SBS31_470_82"	2.41708523471671e-71	2.41708523471671e-67	0	0	0	513
"SAMPLE_SBS31_495_42"	2.65433152546786e-71	2.65433152546786e-67	0	0	0	513
"SAMPLE_SBS31_495_16"	2.80821403482437e-71	2.80821403482437e-67	0	0	0	513
"SAMPLE_SBS31_480_3"	3.45988281398902e-71	3.45988281398902e-67	3.04810999405965e-42	0	10.7269580118782	503.273041988122
"SAMPLE_SBS31_495_47"	4.43211732504223e-71	4.43211732504223e-67	0	0	0	513
"SAMPLE_SBS31_480_43"	4.50117777700373e-71	4.50117777700373e-67	1.93051876813516e-24	1.14154356400623e-26	9.9702030483884	504.029796951612
"SAMPLE_SBS31_475_4"	5.06612906508204e-71	5.06612906508204e-67	0	4.19047132656403e-28	0	512
"SAMPLE_SBS31_495_88"	6.8401077936795e-71	6.8401077936795e-67	0	0	0	513
"SAMPLE_SBS31_460_65"	1.02947989763224e-70	1.02947989763224e-66	0	0	0	513
"SAMPLE_SBS31_490_46"	1.09196084018758e-70	1.09196084018758e-66	0	0	0	513
"SAMPLE_SBS31_490_52"	1.15691976434125e-70	1.15691976434125e-66	0	0	0	513
"SAMPLE_SBS31_485_70"	1.21548987114777e-70	1.21548987114777e-66	2.34232220515637e-22	1.18198996615138e-22	16.9090430700561	496.090956929944
"SAMPLE_SBS31_495_84"	1.33695656203776e-70	1.33695656203776e-66	0	0	0	513
"SAMPLE_SBS31_485_95"	1.72132305058776e-70	1.72132305058776e-66	0	0	0	513
"SAMPLE_SBS31_495_30"	1.93178459597963e-70	1.93178459597963e-66	0	0	16.5209480365424	496.479051963458
"SAMPLE_SBS31_495_48"	1.93638813319763e-70	1.93638813319763e-66	0	0	0	513
"SAMPLE_SBS31_480_53"	2.92561306023203e-70	2.92561306023203e-66	0	0	0	514
"SAMPLE_SBS31_485_99"	3.2948518780952e-70	3.2948518780952e-66	0	0	0	513
"SAMPLE_SBS31_495_79"	3.49003793699536e-70	3.49003793699536e-66	0	0	18.4914877308452	494.508512269155
"SAMPLE_SBS31_490_8"	4.46872438384345e-70	4.46872438384345e-66	0	0	0	513
"SAMPLE_SBS31_485_65"	5.20923613622259e-70	5.20923613622259e-66	0	0	0	513
"SAMPLE_SBS31_475_6"	1.0447342765829e-69	1.0447342765829e-65	0	0	0	512
"SAMPLE_SBS31_495_70"	1.18048134468955e-69	1.18048134468955e-65	0	0	0	513
"SAMPLE_SBS31_490_82"	1.27397835012718e-69	1.27397835012718e-65	0	0	0	513
"SAMPLE_SBS31_490_68"	1.35225965674715e-69	1.35225965674715e-65	0	0	0	513
