"pval"	"apval"	"SBS18"	"SBS40"	"SBS31"
"SAMPLE_SBS31_330_100"	1.34824008772626e-77	9.03320858776595e-74	0.128158985650765	9.14014141948475e-23	332.871841014349
"SAMPLE_SBS31_330_31"	2.70826246509361e-74	1.81453585161272e-70	0	0	333
"SAMPLE_SBS31_330_57"	7.35230763705861e-73	4.92604611682927e-69	2.20722705995955e-90	0	333
"SAMPLE_SBS31_325_23"	1.77075134128215e-72	1.18640339865904e-68	6.59745271518033e-29	2.39637956762783e-41	333
"SAMPLE_SBS31_330_37"	2.83847296049018e-72	1.90177688352842e-68	2.30645061893472e-22	4.57244449685112e-24	333
"SAMPLE_SBS31_330_34"	3.36748392676861e-71	2.25621423093497e-67	0.103447975054494	0	332.896552024945
"SAMPLE_SBS31_325_63"	3.69975913158032e-71	2.47883861815881e-67	2.82201965885484e-38	0	333
"SAMPLE_SBS31_325_49"	4.91172207127288e-71	3.29085378775283e-67	0	0	333
"SAMPLE_SBS31_325_86"	1.06437249865148e-70	7.13129574096493e-67	1.83601911029694e-43	1.33587972253513e-54	333
"SAMPLE_SBS31_330_61"	1.42182315136091e-70	9.52621511411811e-67	0	0	333
"SAMPLE_SBS31_310_5"	1.52430860496508e-70	1.0212867653266e-66	0	0	333
"SAMPLE_SBS31_330_86"	3.14990077018463e-70	2.1104335160237e-66	0	0	333
"SAMPLE_SBS31_325_16"	5.0841608142995e-70	3.40638774558066e-66	0	1.10617840933111e-28	333
"SAMPLE_SBS31_310_83"	5.98683352640661e-70	4.01117846269243e-66	0	0	333
"SAMPLE_SBS31_320_90"	2.01741779508242e-69	1.35166992270522e-65	0	0	333
"SAMPLE_SBS31_330_95"	2.06929485010812e-69	1.38642754957244e-65	1.49682729208304e-39	1.64274670371051e-27	333
"SAMPLE_SBS31_330_41"	3.16696370531708e-69	2.12186568256244e-65	6.65989882292363e-31	5.5512587499956e-29	333
"SAMPLE_SBS31_325_74"	5.66885778862955e-69	3.7981347183818e-65	0	0	333
"SAMPLE_SBS31_330_73"	6.47632917926115e-69	4.33914055010497e-65	0	0	333
"SAMPLE_SBS31_330_85"	1.09940319432974e-68	7.36600140200925e-65	0	4.37909700355178e-28	333
"SAMPLE_SBS31_330_56"	1.24574998686457e-68	8.34652491199265e-65	2.80079329601072e-28	2.2479954074001e-28	333
"SAMPLE_SBS31_325_61"	1.33498430148692e-68	8.94439481996238e-65	0	0	333
"SAMPLE_SBS31_330_29"	1.80486882506211e-68	1.20926211279161e-64	0	0	333
"SAMPLE_SBS31_315_79"	5.19109715238963e-68	3.47803509210105e-64	0	0	333
"SAMPLE_SBS31_315_60"	5.56162406021826e-68	3.72628812034623e-64	0	0	333
"SAMPLE_SBS31_320_71"	6.50122594076848e-68	4.35582138031488e-64	0	0	333
"SAMPLE_SBS31_315_18"	1.66314328141392e-67	1.11430599854733e-63	0	0	333
"SAMPLE_SBS31_325_58"	1.70844424791665e-67	1.14465764610415e-63	0	0	333
"SAMPLE_SBS31_325_12"	1.83734753052509e-67	1.23102284545181e-63	0	0	333
"SAMPLE_SBS31_325_19"	2.02563783599864e-67	1.35717735011909e-63	0	0	333
"SAMPLE_SBS31_330_98"	2.40325980413948e-67	1.61018406877346e-63	0	0	333
"SAMPLE_SBS31_330_51"	3.1486675668655e-67	2.10960726979988e-63	0.496354310457343	0	332.503645689543
"SAMPLE_SBS31_320_51"	3.48676818834104e-67	2.3361346861885e-63	0	0	333
"SAMPLE_SBS31_330_17"	4.18625097013856e-67	2.80478814999284e-63	0	0	333
"SAMPLE_SBS31_325_20"	4.381808709948e-67	2.93581183566516e-63	0.179354537347646	1.82929528432111e-27	332.820645462652
"SAMPLE_SBS31_320_75"	4.65526208059466e-67	3.11902559399842e-63	0	0	333
"SAMPLE_SBS31_315_29"	6.15831811285428e-67	4.12607313561237e-63	0	0	333
"SAMPLE_SBS31_330_91"	9.25654604111067e-67	6.20188584754415e-63	0	2.11790029341537e-27	333
"SAMPLE_SBS31_330_25"	9.86146260622264e-67	6.60717994616917e-63	0	0	333
"SAMPLE_SBS31_300_86"	1.03566908271542e-66	6.9389828541933e-63	0	0	333
"SAMPLE_SBS31_330_89"	1.36862719992519e-66	9.16980223949878e-63	6.82572853449057e-28	4.74104165342365e-41	333
"SAMPLE_SBS31_330_19"	1.6042390234673e-66	1.07484014572309e-62	4.12159026119471e-47	1.67705448847375e-43	333
"SAMPLE_SBS31_325_55"	1.98164579406333e-66	1.32770268202243e-62	0	0	333
"SAMPLE_SBS31_325_96"	2.77866490857979e-66	1.86170548874846e-62	0	0	333
"SAMPLE_SBS31_325_65"	2.94171027224706e-66	1.97094588240553e-62	0	0	333
"SAMPLE_SBS31_330_94"	3.61469387729633e-66	2.42184489778854e-62	9.75711880482562e-29	0	333
