"pval"	"apval"	"SBS1"	"SBS2"	"SBS5"	"SBS18"	"SBS45"	"SBS31"
"SAMPLE861"	0.0209723873647647	1	17.0843541104751	0	204.479440911616	97.7619825574687	91.8353363002745	34.8388861201654
"SAMPLE280"	0.0214542993043069	1	18.1770436088802	13.999881680205	194.178308410751	91.4088003306903	95.8933725319681	32.3425934375051
"SAMPLE394"	0.0245064159046201	1	17.6717889971903	17.4714346192371	185.535776312192	108.256835838184	80.1454375986604	36.9187266345364
"SAMPLE711"	0.0305390682580677	1	0	14.3784948720938	204.00288687443	109.434620527912	85.4637950333091	32.7202026922551
"SAMPLE267"	0.0305413979940355	1	0	11.4653755298727	177.209861570176	161.858946881517	67.1815587787861	28.2842572396475
"SAMPLE83"	0.0407042461929751	1	19.119905437128	25.1608066774969	195.011796845722	90.0925544584831	89.9171076631172	26.6978289180531
"SAMPLE470"	0.0503075090557855	1	26.5029593161219	19.294486899671	202.208316071034	114.188250045801	83.8059876673717	0
"SAMPLE354"	0.0525821402538741	1	16.3617875085981	12.4829652135467	221.515895915859	108.089072811163	87.550278550833	0
"SAMPLE246"	0.0558437299399231	1	0	24.4581326421364	172.83947971051	138.22087043539	85.2868518932722	25.1946653186921
"SAMPLE476"	0.0558451390255532	1	11.3762058967828	12.0823204065478	223.516230054758	124.030336643879	74.9949069980327	0
"SAMPLE659"	0.0646894528416712	1	18.3433701512815	0	252.05490508116	69.2357099338139	106.366014833745	0
"SAMPLE501"	0.0662573604969652	1	22.7046683247129	20.115293091612	184.977698921169	148.095540676901	70.1067989856057	0
"SAMPLE217"	0.0664164058326779	1	0	9.89901732484327	225.12804658694	131.787015282663	79.1859208055533	0
"SAMPLE245"	0.0671159770860893	1	16.7693736160685	11.572182606715	239.319120690892	100.813554243137	77.5257688431867	0
"SAMPLE248"	0.0688643141959479	1	13.573490488395	12.7350746862221	211.622656885511	117.186214061777	90.8825638780951	0
"SAMPLE160"	0.0772690369023755	1	13.5803053529513	16.4598810658288	228.421206909998	70.6009377485728	116.937668922649	0
"SAMPLE372"	0.0890862360493373	1	19.4608895777029	16.2209594685123	214.264463679381	132.529787610009	63.5238996643946	0
"SAMPLE856"	0.0901812518965885	1	0	11.9090278776843	237.505002746267	122.313840835495	74.2721285405537	0
"SAMPLE956"	0.0950552064798724	1	14.0340068717527	0	242.787807334411	111.878407282838	77.2997785109986	0
"SAMPLE565"	0.0982990089149928	1	16.5968202984195	15.2666974250882	226.879010753155	120.195233258762	67.0622382645751	0
"SAMPLE783"	0.0996873134299003	1	10.5645851975438	17.8370233249571	229.478921424425	94.9274525185721	93.1920175345024	0
"SAMPLE799"	0.110168366844012	1	0	0	230.369212853172	144.818782247058	70.8120048997705	0
"SAMPLE913"	0.110942509634609	1	10.0186325712344	0	228.858436828313	128.630097722393	78.4928328780593	0
"SAMPLE252"	0.119549614321084	1	0	14.7680024366555	233.460997837862	113.927289109049	83.8437106164333	0
"SAMPLE35"	0.134341614382394	1	17.6545425027322	0	230.885968721845	141.144468325343	56.3150204500802	0
"SAMPLE942"	0.134573053566293	1	15.9569324221421	0	265.057247712902	77.1525928296997	87.8332270352558	0
"SAMPLE758"	0.136835579107104	1	16.3964122010353	15.250200330363	240.400450461064	81.6715870249648	92.2813499825731	0
"SAMPLE763"	0.14251816891274	1	24.8402721813239	0	239.178211328537	86.5524679381508	95.4290485519887	0
"SAMPLE170"	0.144304345567707	1	0	0	236.457914305757	133.998606138658	75.5434795555845	0
"SAMPLE637"	0.145790963822911	1	16.7929918413616	12.5384617396041	211.538433373222	120.455293378821	84.6748196669911	0
"SAMPLE299"	0.153355985646983	1	17.9674385527289	16.840088194456	216.752627630354	84.8668115649454	109.573034057516	0
"SAMPLE63"	0.159840645130147	1	10.1112668301929	0	236.028099090954	101.532195635958	98.3284384428961	0
"SAMPLE9"	0.168268031446362	1	13.9708294491385	12.2548931657321	226.856368642606	76.2543464962324	116.663562246291	0
"SAMPLE614"	0.176509366452491	1	17.6223586973577	0	237.294634495287	114.980483611598	76.1025231957573	0
"SAMPLE247"	0.182457968647366	1	0	0	277.260334485313	64.7531847476166	103.986480767071	0
"SAMPLE150"	0.18427765744866	1	23.3198341302192	12.9133721287066	209.677984961494	99.4287092021549	100.660099577425	0
"SAMPLE769"	0.185667144404122	1	14.5740958793795	0	260.721157611403	83.7886866266727	86.9160598825448	0
"SAMPLE231"	0.186489705250684	1	11.273909632732	0	237.74785723283	90.6794267078972	106.298806426541	0
"SAMPLE629"	0.187807250530259	1	22.01019558222	0	212.773940397974	132.744590796564	78.4712732232423	0
"SAMPLE985"	0.190354888183829	1	18.9217901495264	0	233.370557554221	108.191311609123	85.5163406871295	0
"SAMPLE303"	0.19421899689533	1	13.163488195331	13.5352318864456	227.981696893849	111.752464538171	79.5671184862028	0
"SAMPLE615"	0.196383333483709	1	13.0963097509347	0	240.07613594274	126.275119224787	66.552435081538	0
"SAMPLE558"	0.196673097434419	1	14.5377592300872	0	255.140982992207	99.4363428312215	76.8849149464841	0
"SAMPLE336"	0.197057157002291	1	0	0	241.050373286223	97.3013232671166	107.648303446661	0
"SAMPLE905"	0.200089002114161	1	14.9603468611184	17.5761069519909	210.688051391205	139.403609323367	63.371885472319	0
"SAMPLE54"	0.203658663971498	1	12.1572705685798	17.6599203022921	226.862531988478	104.782424277854	84.5378528627962	0
"SAMPLE537"	0.206843954090525	1	19.4730101782994	0	231.185625104526	117.671174101111	77.6701906160636	0
"SAMPLE213"	0.208966028796345	1	24.1162052838401	15.0350144788041	196.782731285918	119.595581925599	90.4704670258388	0
"SAMPLE378"	0.213935211830139	1	0	12.9769397064332	218.153006607991	135.712721595208	79.1573320903683	0
"SAMPLE141"	0.218948921581776	1	19.5154116494121	0	240.386398731967	104.258954689162	81.8392349294596	0
"SAMPLE732"	0.219330136512788	1	0	0	250.781377068367	126.146768453178	69.0718544784546	0
"SAMPLE519"	0.220027122929947	1	13.5791876274002	20.7197781437485	233.785880412287	109.257145607169	68.658008209395	0
"SAMPLE730"	0.222859323196809	1	0	19.5637094925623	204.926503183939	179.056874170711	42.4529131527879	0
"SAMPLE151"	0.227535350215504	1	12.7803978585402	14.1580817580661	248.733498703716	96.5579182557632	73.7701034239149	0
"SAMPLE845"	0.227537562001299	1	13.9340130666161	0	241.368619942573	117.454540523695	73.2428264671152	0
"SAMPLE864"	0.230859846656527	1	13.3480194560909	14.4169309768792	211.131783052055	120.905407763137	86.1978587518387	0
"SAMPLE266"	0.231403999101037	1	14.3890036632396	0	231.00999493571	109.865484235195	90.7355171658552	0
"SAMPLE107"	0.241140559160969	1	20.2494741983071	0	242.570521413645	75.1054948366466	108.074509551401	0
"SAMPLE100"	0.241374727732705	1	0	18.3912301507818	239.881132816261	102.753175022167	84.9744620107893	0
"SAMPLE661"	0.244973549827551	1	0	14.2101606534543	206.750045421935	134.808882536213	90.2309113883976	0
"SAMPLE945"	0.245196281663905	1	0	16.4533149380098	214.729118112051	130.326139195598	84.4914277543409	0
"SAMPLE167"	0.245376803503479	1	14.203479395637	0	237.095595783098	115.749857658866	78.9510671623989	0
"SAMPLE749"	0.246441208805586	1	20.8296534682339	12.7449318784667	206.208890765414	113.844539656326	92.3719842315595	0
