"pval"	"apval"	"SBS5"	"SBS18"	"SBS40"	"SBS31"
"SAMPLE_SBS31_475_88"	5.01523119653157e-36	5.01523119653156e-32	0	173.763642441388	340.681188324625	590.555169233987
"SAMPLE_SBS31_430_50"	1.27106698907475e-35	1.27106698907475e-31	164.022345060252	169.707202117823	176.849684393339	595.420768428586
"SAMPLE_SBS31_495_87"	1.29182519978797e-34	1.29182519978797e-30	134.197411083452	177.081272849548	245.420856549879	549.300459517121
"SAMPLE_SBS31_495_4"	1.77316603244042e-34	1.77316603244042e-30	185.516667508455	185.468575047996	179.148668939174	555.866088504375
"SAMPLE_SBS31_495_88"	2.19662559907494e-34	2.19662559907494e-30	0	121.902498633621	392.397177952935	591.700323413444
"SAMPLE_SBS31_480_1"	2.76808650333707e-34	2.76808650333707e-30	146.213544646078	144.495950506405	238.83325997479	576.457244872727
"SAMPLE_SBS31_470_26"	3.1014510221734e-34	3.1014510221734e-30	0	137.660022567606	367.858194610702	600.481782821691
"SAMPLE_SBS31_495_58"	8.02292213442682e-34	8.02292213442682e-30	218.643224679152	125.425710399765	179.8947311799	582.036333741183
"SAMPLE_SBS31_485_56"	1.15507625797672e-33	1.15507625797672e-29	0	134.612626374805	353.157379198249	619.229994426945
"SAMPLE_SBS31_495_29"	1.26856112318403e-33	1.26856112318403e-29	0	108.330556496093	341.917680543728	655.751762960179
"SAMPLE_SBS31_490_34"	1.85013662091774e-33	1.85013662091774e-29	0	148.539533803146	338.832422661834	618.62804353502
"SAMPLE_SBS31_495_95"	1.8857342413171e-33	1.8857342413171e-29	204.393425381715	117.953268945296	201.243928313133	582.409377359857
"SAMPLE_SBS31_485_8"	1.88856405243258e-33	1.88856405243258e-29	145.237707023714	98.1032983124803	301.676654121181	561.982340542625
"SAMPLE_SBS31_485_15"	2.00889123061417e-33	2.00889123061417e-29	0	144.674334466299	345.460022491208	616.865643042493
"SAMPLE_SBS31_490_33"	2.74784365255465e-33	2.74784365255465e-29	204.346943074269	183.696014005938	213.951808681309	504.005234238483
"SAMPLE_SBS31_485_18"	5.68713376786458e-33	5.68713376786458e-29	159.816455555696	180.072541485475	218.400049133801	548.710953825029
"SAMPLE_SBS31_485_95"	1.07115552849076e-32	1.07115552849076e-28	154.280648376272	176.210980603807	257.306892855128	519.201478164793
"SAMPLE_SBS31_495_17"	1.48047600376912e-32	1.48047600376912e-28	209.075047564843	167.331292598592	187.669528726405	541.92413111016
"SAMPLE_SBS31_465_89"	1.60767211609724e-32	1.60767211609724e-28	0	204.234335993413	339.640434501521	562.125229505066
"SAMPLE_SBS31_495_99"	1.7558217354565e-32	1.7558217354565e-28	224.067200147624	178.288119798972	157.306216878674	546.33846317473
"SAMPLE_SBS31_460_36"	1.82481344818963e-32	1.82481344818963e-28	132.505137705968	176.829697638919	267.372567991859	529.292596663253
"SAMPLE_SBS31_490_93"	1.83556262586635e-32	1.83556262586635e-28	203.473655361233	157.953982465088	210.255160911002	534.317201262678
"SAMPLE_SBS31_490_21"	2.17070073246386e-32	2.17070073246386e-28	0	119.182981283227	417.016710791997	569.800307924775
"SAMPLE_SBS31_485_80"	2.29984344969994e-32	2.29984344969994e-28	152.684912564236	156.558687535095	247.889144925881	549.867254974788
